date,label,action,units,price,purchase_date,term,realized_gain,tax_due
2024-09-01,gold,SELL,103.0189294001277,22.4117,2023-01-01,ST,532.0412608869595,159.61237826608786
2024-09-01,small_cap,SELL,10.931202226055149,120.93,2023-01-01,LT,538.5803336777373,0.0
2024-09-01,large_cap,SELL,0.6018921942082825,120.13,2023-01-01,LT,26.91060000305231,0.0
2024-09-01,flexi_cap,BUY,15.381507858276514,85.8868,2024-09-01,,0.0,0.0
2024-09-01,corp_bond,BUY,35.95901927608866,30.9637,2024-09-01,,0.0,0.0
2024-09-01,balanced_adv,BUY,2.0111786654344934,551.388,2024-09-01,,0.0,0.0
2024-10-01,small_cap,SELL,35.633865470735515,126.49,2023-01-01,LT,1953.8048437604282,0.0
2024-10-01,gold,SELL,136.06476302930326,23.4705,2023-01-01,ST,846.7718397602632,254.03155192807895
2024-10-01,flexi_cap,SELL,20.56800307363557,88.6465,2023-01-01,LT,773.6386972108063,0.0
2024-10-01,large_cap,BUY,13.283294061649148,122.69,2024-10-01,,0.0,0.0
2024-10-01,corp_bond,BUY,142.89778152571063,31.2906,2024-10-01,,0.0,0.0
2024-10-01,balanced_adv,BUY,5.722780099357509,553.752,2024-10-01,,0.0,0.0
2024-11-01,gold,SELL,458.8154668152167,24.6759,2023-01-01,ST,3408.4024583302003,1022.52073749906
2024-11-01,corp_bond,SELL,266.8636066450213,31.4513,2023-01-01,ST,1141.6691955880653,342.5007586764196
2024-11-01,large_cap,BUY,94.97633931360447,116.11,2024-11-01,,0.0,0.0
2024-11-01,flexi_cap,BUY,24.268722537117995,85.9814,2024-11-01,,0.0,0.0
2024-11-01,small_cap,BUY,41.59455925752045,120.64,2024-11-01,,0.0,0.0
2024-11-01,balanced_adv,BUY,0.40238779970228045,540.626,2024-11-01,,0.0,0.0
2024-12-01,flexi_cap,SELL,32.353438391056294,86.7639,2023-01-01,LT,1156.0239424946717,0.0
2024-12-01,corp_bond,SELL,56.87817493727762,31.6148,2023-01-01,ST,252.63010180141214,75.78903054042364
2024-12-01,small_cap,SELL,14.138425843487878,121.67,2023-01-01,LT,707.0626764328289,0.0
2024-12-01,balanced_adv,SELL,0.5692899706865666,541.356,2023-01-01,ST,111.0240686632356,33.30722059897068
2024-12-01,large_cap,BUY,9.802316418569223,115.91,2024-12-01,,0.0,0.0
2024-12-01,gold,BUY,226.87747089553136,23.7504,2024-12-01,,0.0,0.0
2025-01-01,flexi_cap,SELL,39.00507333502637,87.9456,2023-01-01,LT,1439.786471001161,0.0
2025-01-01,small_cap,SELL,25.023522700132556,123.61,2023-01-01,LT,1299.9720042718864,0.0
2025-01-01,corp_bond,SELL,30.235612285982572,31.7838,2023-01-01,ST,139.4043140057512,41.82129420172536
2025-01-01,large_cap,BUY,54.70509770395628,114.21,2025-01-01,,0.0,0.0
2025-01-01,balanced_adv,BUY,1.6906421099862026,539.181,2025-01-01,,0.0,0.0
2025-01-01,gold,BUY,11.915585078458486,23.7699,2025-01-01,,0.0,0.0
2025-02-01,gold,SELL,489.09681864107716,25.4869,2023-01-01,LT,4030.011056556883,503.7513820696104
2025-02-01,corp_bond,SELL,166.8938678948793,31.9973,2023-01-01,ST,805.1127081116869,241.53381243350606
2025-02-01,flexi_cap,SELL,18.23619576450696,87.4349,2023-01-01,LT,663.8358218391587,0.0
2025-02-01,large_cap,BUY,19.302033042648986,112.26,2025-02-01,,0.0,0.0
2025-02-01,small_cap,BUY,130.29563233578597,113.74,2025-02-01,,0.0,0.0
2025-02-01,balanced_adv,BUY,3.1659097911386023,526.938,2025-02-01,,0.0,0.0
2025-03-01,corp_bond,SELL,397.47580809270784,32.1028,2023-01-01,ST,1959.3967435738127,587.8190230721438
2025-03-01,gold,SELL,406.7442324620827,26.3162,2023-01-01,LT,3688.763444198628,461.0954305248285
2025-03-01,large_cap,BUY,67.70046515843028,105.54,2025-03-01,,0.0,0.0
2025-03-01,flexi_cap,BUY,17.78027678562111,83.4913,2025-03-01,,0.0,0.0
2025-03-01,small_cap,BUY,129.9869116487647,102.34,2025-03-01,,0.0,0.0
2025-03-01,balanced_adv,BUY,0.9569786179778466,504.367,2025-03-01,,0.0,0.0
2025-04-01,large_cap,SELL,51.35892051269762,111.34,2023-01-01,LT,1844.8124248160987,0.0
2025-04-01,small_cap,SELL,51.75222662207457,109.25,2023-01-01,LT,1945.3661987237833,0.0
2025-04-01,gold,SELL,27.688701033051302,27.4532,2023-01-01,LT,282.5908827433216,35.3238603429152
